epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.0527,0.60718,0.85338,0.94635,0.85176,0.87039,0.90371,0.66089,0.65885,0.60111,0.95939,0.000552832,0.000552832,0.000552832
2,117.607,0.51873,0.4177,0.89931,0.88594,0.77356,0.88573,0.68191,0.55816,0.56185,0.92843,0.000889016,0.000889016,0.000889016
3,174.865,0.47111,0.35832,0.88006,0.93532,0.96666,0.98513,0.81217,0.41335,0.30848,0.88138,0.00100516,0.00100516,0.00100516
4,232.624,0.40477,0.30317,0.86015,0.97604,0.98596,0.98899,0.84909,0.37332,0.24522,0.83014,0.000676802,0.000676802,0.000676802
5,289.732,0.34382,0.25229,0.84392,0.9976,0.98843,0.99201,0.89086,0.27443,0.22121,0.82433,0.000346736,0.000346736,0.000346736
